KIC,dnu,dnu_err,numax,numax_err,metallicity,metallicity_err,radius
11182706,4.42,0.1,38.9,1.04,-0.39,0.07,10.23
11342308,6.53,0.13,65.39,1.6,-0.08,0.06,7.93
11289335,4.17,0.09,35.94,0.82,0.16,0.05,10.66
11342694,7.07,0.15,75.5,1.62,0.24,0.05,7.75
11289128,4.08,0.09,29.13,0.8,-0.71,0.08,9.94
11235816,4.15,0.1,33.93,1.64,0.03,0.05,10.28
11076453,5.07,0.1,50.92,2.15,-0.01,0.06,10.01
11129480,4.67,0.1,42.59,1.85,0.15,0.05,10.21
11129945,4.91,0.12,51.03,1.51,0.01,0.05,11.04
11236571,14.86,0.29,191.54,3.87,0.12,0.05,4.42
11289990,4.14,0.1,36.4,0.91,0.02,0.05,10.96
11236536,4.53,0.13,43.12,1.32,0.03,0.05,10.7
11289822,6.75,0.13,72.4,1.7,0.34,0.04,8.02
11289675,3.38,0.13,26.31,0.66,-0.74,0.08,11.77
11236845,4.88,0.12,43.45,0.95,-0.47,0.07,9.41
11289759,3.86,0.11,33.45,1.93,0.05,0.05,11.41
11395816,4.05,0.08,32.75,0.78,-0.2,0.06,10.55
11342804,6.2,0.13,62.55,1.93,-0.15,0.06,8.26
10651578,4.12,0.11,32.78,0.82,-0.2,0.06,10.2
10651320,4.1,0.1,29.21,1.08,-0.56,0.07,9.81
10651398,3.71,0.08,25.03,1.16,-0.58,0.08,
10847321,6.51,0.13,68.59,2.39,0.14,0.05,8.09
10907410,6.99,0.14,78.6,1.76,0.4,0.04,8.08
11018922,4.13,0.1,33.47,0.76,-0.31,0.07,10.43
11018745,3.97,0.13,35,1.13,0.36,0.04,11.33
10848618,4.05,0.12,33.23,0.87,-0.08,0.06,10.53
10908322,3.61,0.08,30.31,0.87,-0.43,0.07,12.32
10964584,4.05,0.09,31.18,0.77,-0.47,0.07,9.95
10522111,3.57,0.12,27.06,0.63,-0.34,0.07,10.99
10586902,5.07,0.11,45.16,2.68,-0.4,0.07,8.64
10587122,4.33,0.09,37.36,0.8,0.12,0.05,10.32
10522084,4.72,0.1,45.76,1.28,-0.02,0.06,10.86
10652469,5.4,0.12,50.26,1.12,-0.37,0.07,8.87
10784013,2.27,0.05,17.02,0.9,-0.24,0.06,16.28
10849541,2.83,0.06,21.72,0.52,-0.28,0.06,13.73
10718491,4.93,0.11,48.88,1.12,0,0.05,10.38
10849000,6.24,0.14,61.67,1.76,-0.06,0.06,8.09
10653200,4.33,0.08,39.57,1.34,0,0.05,10.96
10653383,4.42,0.1,41.36,1.17,-0.05,0.06,11.15
10587702,4.89,0.1,45.08,1.66,0.04,0.05,9.45
10718902,4.14,0.13,29.26,0.94,-0.27,0.06,
10784996,2.9,0.1,22.74,0.56,-0.05,0.06,13.5
10965536,3.25,0.07,26.87,0.83,-0.24,0.06,12.95
11074543,5.95,0.13,56.87,1.25,-0.23,0.06,8.25
11019954,4.18,0.11,34.64,0.79,-0.22,0.06,10.52
11020211,9.72,0.24,104.63,2.2,-0.42,0.07,5.73
11020101,8.52,0.51,122.66,8.07,0.16,0.05,8
10966241,8.41,0.19,97.02,2.29,-0.27,0.06,7.3
10910541,3.87,0.12,30.27,0.81,-0.36,0.07,10.48
10910802,3.03,0.06,23.14,0.81,0.12,0.05,12.7
10910889,4.64,0.1,47.66,2.18,0.32,0.04,11.37
10910523,3.13,0.07,25.18,0.74,-0.1,0.06,12.92
11075908,4.33,0.08,37.93,1.42,-0.11,0.06,10.58
10966458,3.93,0.1,32.13,0.88,-0.03,0.06,10.7
10910674,4.05,0.08,36.02,1.43,-0.06,0.06,11.2
10966950,3.68,0.07,29.58,1.02,-0.14,0.06,11.18
11602793,10.35,0.2,122.83,2.51,-0.16,0.06,6.1
11551758,3.88,0.1,31.05,1.02,-0.16,0.06,10.77
11654305,5.29,0.11,51.88,1.1,0,0.05,9.55
11654184,3.93,0.1,34.14,1.47,0.23,0.05,11.25
11499428,4.06,0.09,33.08,0.77,-0.3,0.07,10.64
11551746,4.68,0.1,44.82,0.87,-0.01,0.06,10.99
11447802,4.38,0.09,44.22,1.02,-0.05,0.06,12.21
11551628,4.96,0.1,53.6,1.17,0.18,0.05,11.51
11395200,4.14,0.09,29.9,0.76,-0.45,0.07,9.84
11394905,4.33,0.11,39.08,0.93,-0.44,0.07,11.02
11394497,1.2,0.03,6.45,0.44,-0.21,0.06,22.71
11395438,4.13,0.11,34.04,1.21,-0.02,0.06,10.39
11550567,4.08,0.08,37.24,0.79,-0.11,0.06,11.75
11550492,8.66,0.19,93.01,1.9,-0.07,0.06,6.39
11498298,4.49,0.09,42.21,1.07,-0.2,0.06,11.1
11704163,4.76,0.1,46.13,1,-0.07,0.06,10.46
11287949,8.12,0.17,90.53,1.84,0.02,0.05,7.1
11341723,3.92,0.09,29.12,0.95,-0.43,0.07,10.24
11234897,5.15,0.09,61.32,2.99,0.13,0.05,12.69
11287936,5.32,0.1,51.37,1.16,-0.01,0.06,9.31
11446691,3.78,0.08,28.38,0.77,-0.27,0.06,10.45
11446151,4.26,0.17,33.16,1.55,-0.02,0.06,9.95
11653073,4.26,0.09,37.26,0.75,-0.04,0.06,10.71
11601529,3.67,0.08,33.27,1.35,0.03,0.05,12.21
11498101,4.12,0.1,37.76,0.89,0.03,0.05,11.47
11498043,4,0.18,33.65,1.28,-0.87,0.09,10.53
11601378,4.29,0.08,36.18,1.26,0.04,0.05,10.25
11445818,4.07,0.1,37.05,1.37,-0.16,0.06,11.56
11497421,3.71,0.17,30.56,1.51,-0.33,0.07,11.21
11651776,3.27,0.11,27.84,0.68,-0.09,0.06,13.06
11600024,4.25,0.1,35.72,0.96,-0.19,0.06,10.34
11702195,5.59,0.13,50.86,1.21,-0.42,0.07,8.34
11600208,4.13,0.09,30.68,1.33,-0.41,0.07,9.95
11600604,8.87,0.17,105.64,2.48,-0.34,0.07,7.2
11600255,9.28,0.19,100.18,2.7,-0.45,0.07,6.18
11548940,3.1,0.06,24.09,0.52,-0.21,0.06,12.97
11496569,6.16,0.14,66.35,1.48,0.02,0.05,9.16
11444844,4.1,0.09,30.97,2.22,-0.25,0.06,10.16
11496497,13.97,0.28,185.08,3.68,0.13,0.05,5.04
11444313,4.01,0.09,33.34,0.85,-0.05,0.06,10.76
11599067,3.01,0.07,23.2,1.08,0.44,0.04,
11495120,5.66,0.14,60.96,2.19,-0.04,0.06,10.22
11599342,10.65,0.24,131.3,3.43,-0.12,0.06,6.07
11494511,1.77,0.05,12.61,0.39,0.18,0.05,19.54
11546913,13.16,0.85,183.56,4.87,-0.16,0.06,5.37
11495084,3.83,0.08,29.49,1.46,-0.16,0.06,10.53
11650039,2.49,0.06,17.93,0.61,-0.59,0.08,14.69
11338267,3.46,0.09,25.12,0.95,-0.34,0.07,11.07
11285433,3.84,0.1,32.7,0.9,-0.41,0.07,11.52
11649294,4.14,0.09,33.96,1.39,0.01,0.05,10.28
11598312,4.85,0.12,46.68,1.14,-0.18,0.06,10.79
11598116,2.47,0.07,18.39,0.65,-0.29,0.07,14.99
11494312,4.27,0.1,37.99,1.18,0.1,0.05,10.82
11546335,0.2,0.06,1,0.07,-0.62,0.08,74.48
11441797,5.81,0.12,56.59,1.37,-0.22,0.06,8.65
11597759,3.79,0.1,28.62,1.25,-0.3,0.07,10.48
11494169,4.25,0.11,40.23,1,-0.19,0.06,11.43
11442227,3.38,0.07,28.13,1.45,0.02,0.05,12.6
11177727,3.74,0.09,31.83,0.74,-0.18,0.06,11.59
11337714,4.14,0.11,38.84,1.49,0.18,0.05,11.63
11230630,3.9,0.12,30.05,0.85,-0.18,0.06,10.5
11284496,9.13,0.19,104.17,2.03,0.11,0.05,6.41
11905840,10.21,0.19,120.8,2.6,-0.24,0.06,6.21
11955410,4.07,0.09,33.3,0.75,-0.14,0.06,10.54
12005162,12.8,0.57,160.59,4.29,-0.17,0.06,5.14
12004945,7.84,0.17,86.57,2.37,0.19,0.05,7.07
11905997,6.52,0.14,65.37,2.02,-0.38,0.07,7.87
11805876,9.73,0.18,132.88,3.34,0.22,0.05,7.13
11805460,4.21,0.08,37.08,1.01,0.11,0.05,10.8
11805792,4.14,0.09,35.09,0.81,-0.13,0.06,10.65
11855110,4.34,0.09,37.74,0.89,-0.21,0.06,10.66
11754056,4.21,0.11,33.91,0.89,0.06,0.05,10.03
11804677,2.32,0.05,20.63,0.67,-0.05,0.06,19.65
11703230,4.03,0.09,33.16,1.11,-0.17,0.06,10.69
11753722,5.25,0.12,47.35,0.93,-0.37,0.07,8.84
11805217,5.9,0.13,63.31,4.06,-0.19,0.06,9.1
12101990,4.01,0.1,30.36,0.69,-0.28,0.07,10.06
11954465,9.28,0.23,103.81,2.23,-0.02,0.06,6.15
11954989,3.19,0.08,27.75,1.67,0.06,0.05,13.37
11905393,4.09,0.11,32.83,0.97,-0.03,0.06,10.26
11854450,4.12,0.1,30.76,0.95,-0.4,0.07,9.9
11904929,4.64,0.12,44.5,1.37,-0.27,0.06,11.06
11954278,4.15,0.09,36.91,0.98,0.09,0.05,11.1
11905159,5.27,0.12,50.41,1.09,-0.21,0.06,9.28
11953668,3.72,0.08,29.97,0.93,-0.35,0.07,11.3
11953849,4.2,0.09,35.65,1.19,-0.07,0.06,10.6
12003742,5.38,0.11,61.84,2.19,-0.07,0.06,11.62
11753104,3.87,0.1,33.31,0.87,-0.7,0.08,11.58
11753010,2.05,0.05,15.32,1.01,0.06,0.05,16.82
11753018,6,0.11,63.74,1.78,0.15,0.05,9.04
11753211,4.11,0.1,35.72,1.11,-0.16,0.06,11.21
11753439,5.57,0.15,54.45,1.62,-0.11,0.06,8.81
11752396,3.97,0.1,36.55,1.89,-0.21,0.06,11.67
11752358,6.54,0.14,63.38,1.56,-0.8,0.08,7.86
11752707,2.59,0.07,18.96,0.74,-0.42,0.07,14.13
11802908,8.98,0.21,104.21,2.04,0.09,0.05,6.68
12003253,3.85,0.08,31.87,1.02,-0.18,0.06,11.18
11953581,4.19,0.08,36.93,2.18,0.3,0.04,10.82
11853719,4.03,0.09,32.59,1.22,0.13,0.05,10.41
11802037,3.93,0.1,30.06,0.71,-0.4,0.07,10.42
11752118,4.34,0.09,37.79,1.06,-0.24,0.06,10.18
11649869,2.9,0.15,17.5,1.05,-0.67,0.08,
11650219,3.96,0.11,31.84,0.92,-0.19,0.06,10.67
11250010,4.2,0.1,40.44,1.53,0.36,0.04,11.67
11250152,3.55,0.07,29.95,0.85,-0.23,0.06,12.15
11250139,4.56,0.09,38.75,1.3,-0.42,0.07,9.45
11355933,4.27,0.11,39.86,1.02,0.09,0.05,11.31
11563791,4.95,0.11,41.82,0.81,-1.19,0.1,9.17
11615224,4.02,0.09,30.46,1.53,-0.05,0.06,10.23
11615617,8.12,0.15,103.54,2.51,0.21,0.05,8.46
11615498,6.03,0.15,66.98,2.72,0.06,0.05,10.18
11512096,4.08,0.1,31.58,0.77,-0.42,0.07,9.94
11564307,4.02,0.1,36.15,1.67,-0.02,0.06,11.61
11668246,4.27,0.09,39.3,1.84,0.22,0.05,11.02
11668036,4.43,0.12,41.51,1.13,0.05,0.05,11.13
11667928,3.78,0.15,30.77,0.74,-0.21,0.06,11.07
11564787,3.51,0.07,29.37,2,0.3,0.04,12.14
11667799,4.75,0.09,50.33,1.25,0.19,0.05,11.41
11408704,3.99,0.09,27.02,1.54,0.08,0.05,
11409529,4.11,0.1,36.41,1.26,0.35,0.04,11
11357004,3.1,0.06,24.9,0.95,-0.22,0.06,13.14
11513798,8.3,0.16,91.02,2.05,0.24,0.05,6.72
11461138,3.94,0.07,33.17,0.75,0.34,0.04,10.89
11617622,3.87,0.09,32.13,0.83,0.07,0.05,11.06
11618043,1.08,0.04,6.09,0.34,0.24,0.05,25.79
11618522,5.44,0.11,58.12,1.23,0.19,0.05,10.7
11669113,2.92,0.06,23.68,0.6,-0.1,0.06,14.02
11617501,4.7,0.1,42.83,1.07,-0.07,0.06,
11410217,15.87,1.68,225.92,4.97,0.16,0.05,4.66
11514322,5.7,0.12,60.46,1.39,0.12,0.05,9.6
11410549,4.13,0.09,36.86,1.36,0.09,0.05,11.21
11357686,5.84,0.15,55.69,1.39,-0.06,0.06,8.2
11410622,12.13,0.23,150.86,3.41,-0.18,0.06,5.47
11463411,4.54,0.09,51.71,1.46,-0.07,0.06,13.47
11462972,4.55,0.1,42.92,1.34,0.1,0.05,10.85
11515377,14.66,0.43,192.85,3.83,-0.12,0.06,4.71
11463450,4.14,0.08,38.68,1.17,0.46,0.04,
11619724,2.5,0.05,24.17,0.89,0.01,0.05,19.55
11721438,8.68,0.19,110.14,2.96,0.19,0.05,7.92
11669622,4.01,0.1,35.02,2.26,-0.21,0.06,11.56
11720493,4.01,0.1,34.04,0.77,-0.08,0.06,10.97
11670367,3.79,0.08,30.83,1.27,0.1,0.05,10.92
11567572,5.42,0.15,57.1,3.25,0.29,0.04,10.65
11568605,4.83,0.1,48.77,1.08,0.13,0.05,10.71
11517524,8.82,0.17,103.13,2.82,0.19,0.05,6.78
11567563,4.37,0.12,43.71,2.09,0.05,0.05,11.36
11412190,4.2,0.1,32.44,0.7,-0.23,0.06,9.93
11518492,5.32,0.11,52.61,1.1,0.06,0.05,9.52
11413158,4.97,0.09,56.95,1.66,0.07,0.05,12.37
11465784,4.22,0.08,34.73,0.75,-0.04,0.06,10.14
11569659,4.08,0.09,31.69,1.75,-0.27,0.06,10.28
11362947,6.35,0.13,72.91,1.77,-0.12,0.06,9.94
11519735,3.19,0.08,26.78,0.89,0.22,0.05,13.04
11519991,8.21,0.16,99.05,2.53,-0.13,0.06,7.9
11415370,4.4,0.1,38.66,0.95,-0.04,0.06,10.69
11519450,6.8,0.13,71.05,1.62,-0.14,0.06,8.06
11623012,4.27,0.09,36.17,1.13,-0.12,0.06,10.48
11621486,4.12,0.11,36.21,0.99,-0.33,0.07,11.06
11623195,4.22,0.1,37.25,2.02,-0.04,0.06,10.81
11622144,4.27,0.1,41,1.16,0.13,0.05,11.85
11521155,4.52,0.11,40.66,1.01,0,0.05,10.85
2436688,6.17,0.63,77.19,3.79,0.21,0.05,
11521352,9.17,0.75,106.07,2.6,-0.07,0.06,6.53
11572172,3.94,0.08,31.82,0.96,-0.13,0.06,10.56
11521197,6.13,0.12,67.85,1.54,-0.03,0.06,9.5
11468340,4.71,0.15,41.81,1.27,-0.05,0.06,9.94
11415994,3.46,0.22,28.37,1.5,-0.38,0.07,11.95
11674666,4.02,0.1,32.46,0.93,-0.19,0.06,10.59
11673900,4.56,0.11,43,0.87,0.02,0.05,10.93
11674692,6.97,0.14,84.45,1.74,0.26,0.05,9.58
11775398,4.16,0.1,33.26,1.48,0.01,0.05,10.13
11775511,5.21,0.11,47.27,1.05,-0.31,0.07,8.96
11090395,4.2,0.09,37.42,2.16,-0.18,0.06,11.09
11037290,4.41,0.08,42.46,1.18,0.11,0.05,11.28
11037219,8.45,0.17,118.02,6.61,0.21,0.05,8.41
11090673,2.26,1.02,22.14,1.98,-0.28,0.07,15.58
11037292,2.4,0.06,17.1,0.39,-0.66,0.08,15.17
11251136,3.2,0.07,28.88,0.73,0.07,0.05,14.4
11197101,3.89,0.11,28.45,1.04,-0.35,0.07,10.24
11250488,2.87,0.06,24.39,0.57,-0.12,0.06,15.2
11250341,5.12,0.1,50.19,2.18,-0.17,0.06,9.53
11196963,3.33,0.07,23.74,1.11,-0.24,0.06,11.39
11252233,3.73,0.08,31.49,0.72,0.05,0.05,11.63
11251837,3.45,0.07,28.13,0.85,0.17,0.05,12.04
11357931,4.14,0.09,36.16,0.84,-0.12,0.06,11.06
11197457,4.46,0.1,39.71,1,-0.02,0.06,10.41
11145563,3.85,0.1,30.3,0.9,-0.31,0.07,10.79
11146230,4.4,0.09,32.23,2.18,-0.31,0.07,9.59
10983401,7.67,0.15,92.86,2.62,0.17,0.05,8.61
11146152,3.56,0.07,32,0.74,0.21,0.05,12.94
11145672,5.55,0.13,60.27,1.49,-0.09,0.06,10.68
11359175,4.18,0.08,35.32,1.34,-0.02,0.06,10.52
11358755,3.99,0.09,37.03,0.77,-0.02,0.06,11.91
11358669,8.51,0.2,92.38,5.44,0.12,0.05,6.45
11252437,3.41,0.08,26.83,0.86,0.1,0.05,11.84
11305250,7.48,0.13,93.81,1.97,-0.06,0.06,9.02
11358607,4.13,0.11,34.18,0.88,-0.21,0.06,10.57
11147717,2.8,0.07,20.44,0.88,-0.37,0.07,13.45
11147596,2.62,0.06,21.8,0.71,0.24,0.05,15.67
11146647,3.36,0.08,30.52,0.82,-0.01,0.06,
11199105,3.76,0.09,32.02,1.67,0.27,0.04,11.35
11199783,4.68,0.13,45.14,1.03,0.08,0.05,10.97
11252706,4.51,0.08,41.73,0.83,-0.04,0.06,10.88
11360886,4.19,0.08,44.98,1.19,-0.07,0.06,13.43
11413138,4.6,0.12,46.02,1.44,0.12,0.05,10.88
11200573,4.04,0.11,33.66,1.07,-0.01,0.06,10.63
11307599,4.17,0.18,35.58,1.2,-0.3,0.07,10.83
11308784,6.12,0.13,61.58,1.17,-0.24,0.06,8.55
11308660,4.28,0.09,36.86,0.85,0.08,0.05,10.41
11361765,9.22,0.17,103.1,2.13,-0.27,0.06,6.44
11414700,4.22,0.09,37.72,0.94,-0.08,0.06,11.05
12121377,4.49,0.11,43.21,1.12,-0.09,0.06,11.24
12122151,5.06,0.1,51.07,1.28,-0.08,0.06,10.4
12121656,4.25,0.1,37.97,1.09,-0.19,0.06,11.13
12024640,8.45,0.19,90.1,2.18,-0.04,0.06,6.49
11775041,4.13,0.08,34.22,2.16,-0.47,0.07,10.67
11924919,9.26,0.17,114.52,2.86,0.12,0.05,7.03
11974612,4.64,0.12,40.16,1,-0.46,0.07,9.57
11924806,8.74,0.21,116.37,5.7,-0.01,0.06,7.94
11825166,5.29,0.1,50.31,1.16,-0.17,0.06,
11773616,3.16,0.08,27.15,0.84,0.24,0.05,13.43
11773146,0.74,0.08,4.17,0.24,-0.23,0.06,32.91
11824403,0.45,0.19,3.54,0.35,-0.47,0.07,38.82
11824976,4.08,0.1,37.1,0.92,-0.02,0.06,11.56
11774110,4,0.09,35.37,1.16,0.12,0.05,11.34
11973853,14.48,0.34,204.22,5.65,-0.09,0.06,5.14
12121207,3.59,0.07,27.4,0.95,-0.32,0.07,11.22
12120327,4.02,0.11,34.28,0.7,-0.11,0.06,11.01
12120872,8.46,0.16,98.32,3.68,-0.02,0.06,7.04
11823838,4.47,0.09,42.11,1.14,-0.42,0.07,11.17
11722424,2.72,0.05,22.55,1.28,0.03,0.05,15.13
11670968,5.02,0.11,45.17,0.98,-0.56,0.08,9.31
12021906,4.55,0.1,41.38,0.91,0.11,0.05,10.43
11971940,4.69,0.12,47.39,1.67,0.25,0.05,10.78
11872655,3.52,0.08,27.91,1.09,0.14,0.05,11.42
11873200,4.05,0.08,37.41,0.95,-0.13,0.06,11.91
11871882,4.3,0.1,36.46,1.42,-0.35,0.07,10.45
11721374,5.92,0.12,59.96,1.27,0.06,0.05,8.74
11871718,3.95,0.09,31.99,1.26,-0.1,0.06,10.6
12020797,0.88,0.03,4.44,0.27,-0.32,0.07,27.73
11971123,3.91,0.11,33.54,0.79,-0.1,0.06,11.53
11970987,4.66,0.11,43.25,1.54,-0.08,0.06,10.94
11971166,2.26,0.05,18.51,1.2,-0.1,0.06,19.56
11821439,4.78,0.11,47.82,1.09,0.05,0.05,10.7
11870991,4.04,0.1,30.63,0.9,-0.36,0.07,10.15
11819760,3.63,0.07,30.52,1.49,-0.21,0.06,11.94
11920678,4.14,0.09,37.96,1.08,-0.04,0.06,11.25
11820688,4.18,0.09,38.97,1.14,0.07,0.05,11.58
11769563,7.78,0.15,84.35,1.93,-0.26,0.06,7.32
11969879,3.62,0.11,28.31,1.22,0.26,0.05,11.17
11968334,11.27,0.21,139.64,2.63,0.16,0.05,5.7
11869095,5.33,0.11,55.95,1.44,0.21,0.05,10
11969378,4.33,0.09,38.1,1.02,0.04,0.05,10.7
12017985,2.62,0.08,18.59,0.71,-1.99,0.13,14.58
11868264,3.33,0.6,34.7,1.79,-0.41,0.07,13.75
11666557,3.61,0.14,31.09,1.01,-0.05,0.06,11.7
11819363,5.31,0.1,49.97,1.74,-0.47,0.07,9.17
11769182,4.58,0.11,43.57,0.98,0.04,0.05,10.62
11615890,13.28,0.29,171.94,3.62,0.03,0.05,5.16
11768570,4.18,0.09,35.25,1.34,-0.06,0.06,10.49
11966805,4.38,0.11,40.03,1.04,-0.38,0.07,10.74
12066292,0.88,0.03,4.91,0.16,-0.43,0.07,30.32
12115227,9.37,0.19,97.21,1.86,-0.75,0.08,5.85
12114999,4.35,0.08,40,1.03,-0.28,0.06,11.21
11918016,4.14,0.09,34.5,1.52,-0.05,0.06,10.44
11868246,3.7,0.09,33.65,0.88,0.17,0.05,12.59
11817405,3.76,0.09,33.4,0.67,-0.16,0.06,12.16
11767058,5.34,0.1,54.55,1.16,-0.06,0.06,10.21
11665692,5.95,0.13,67.79,2.34,0.34,0.04,10.38
11614827,4.28,0.11,35.21,1.19,-0.36,0.07,10.23
11716326,16.7,0.32,217.02,4.25,0.1,0.05,4.04
12316788,4.47,0.09,40.34,1.04,-0.12,0.06,10.3
12418515,4.06,0.1,35.7,1.03,-0.29,0.07,11.44
12316494,3.76,0.08,31.55,2.12,-0.21,0.06,11.78
12367827,4.22,0.08,39.14,1.15,-0.14,0.06,11.62
12418339,4.18,0.09,35.93,0.81,-0.26,0.06,10.89
12169845,3.27,0.08,30.43,1.11,0.02,0.05,14.3
12217239,3.17,0.07,25.75,0.63,0.08,0.05,13.02
12120230,5.31,0.11,50.8,1.37,-0.3,0.07,9.38
12217154,4.65,0.09,47.35,1.13,-0.05,0.06,11.63
12168406,4.73,0.11,45.33,1.02,0.29,0.04,10.1
12366461,4.47,0.12,43.12,0.98,0.02,0.05,11.02
12366537,4.73,0.11,47.23,1.11,-0.17,0.06,10.95
12470054,12.51,0.26,158.57,3.11,0.11,0.05,
12070550,3.02,0.08,23.02,0.89,-0.05,0.06,12.83
12070114,4.25,0.08,39.27,1.25,0.02,0.05,11.25
12070650,4.43,0.1,40.08,1.07,-0.14,0.06,10.85
12167910,2.24,0.05,17.75,0.7,0.02,0.05,17.43
12314927,2.02,0.04,15.18,0.58,-0.25,0.06,18.85
12365293,7.49,0.16,94.68,1.99,0.04,0.05,9.25
12314910,2.94,0.06,23.09,0.9,-0.31,0.07,
12266056,4.67,0.13,42.21,1.17,-0.18,0.06,9.87
12215647,4.95,0.1,49.26,1.26,0.07,0.05,10.27
12167521,4.29,0.11,35.62,0.8,-0.23,0.06,10.26
12216750,8.72,0.17,95.57,1.88,-0.06,0.06,6.48
12118044,5.94,0.12,64.6,1.42,0.03,0.05,9.9
12117790,9.44,0.19,113.51,3.35,0.01,0.05,6.68
12117920,4.01,0.18,36.4,1.8,0.09,0.05,11.43
12164879,4.75,0.08,53.08,2.66,0,0.05,13.02
12116393,6.24,0.14,61.09,1.36,-0.04,0.06,8.01
12117099,3.9,0.16,29.6,0.81,-0.6,0.08,10.31
12067001,4.53,0.09,42.61,1.33,-0.22,0.06,11.07
10727789,12.79,0.24,164.74,3.1,-0.14,0.06,5.38
10662618,3.93,0.08,31.55,0.92,-0.04,0.06,10.59
10793771,6.64,0.18,78.09,1.93,0.14,0.05,9.24
10728179,4.25,0.09,37.45,0.81,-0.1,0.06,10.95
10793890,8.54,0.17,103.76,6.64,0.02,0.05,8
10793872,14.85,1.18,181.43,3.39,-0.23,0.06,4.12
10858331,3.8,0.08,28.24,1.19,-0.4,0.07,10.38
10858675,8.07,0.16,87.5,2.1,-0.05,0.06,6.92
10858520,3.78,0.1,33.87,0.73,0.17,0.05,11.92
10973854,3.55,0.08,31.07,0.7,0.04,0.05,12.49
10972858,3.73,0.13,30.75,0.73,-0.25,0.06,11.18
10532751,8.29,0.15,101.1,1.97,0.03,0.05,7.88
10598558,4.51,0.12,42.85,1.14,-0.05,0.06,11.11
10597648,3.93,0.09,34.86,0.78,0.32,0.04,11.26
10533369,4.27,0.09,40.78,1.85,0.16,0.05,11.59
11029151,4.23,0.1,36.54,0.93,0.01,0.05,10.57
11028575,4.27,0.09,36.98,2.32,-0.12,0.06,10.6
11028372,4.54,0.11,39.48,0.94,-0.38,0.07,9.92
10918731,4.6,0.09,45.86,0.95,0.22,0.05,11.17
10974984,3.82,0.08,33.37,0.83,0.29,0.04,11.62
10975126,4,0.09,29.95,1.02,-0.33,0.07,10.14
10796378,4.7,0.12,41.5,0.96,-0.42,0.07,9.67
10859779,7.26,0.15,79.36,3.63,0.19,0.05,7.47
10859941,3.96,0.09,30.64,0.79,-0.13,0.06,10.33
10860146,3.52,0.08,23.99,1.19,0.2,0.05,
10863535,1.35,0.03,9.12,0.5,-0.04,0.06,24.59
10977629,3.15,0.07,24.47,0.53,0.14,0.05,12.47
10921258,3,0.06,25.83,0.61,0.19,0.05,14.39
10977040,5.06,0.1,51.72,1.44,-0.11,0.06,10.94
10667966,4.05,0.1,31.62,0.95,-0.43,0.07,10.23
10799530,4.3,0.1,36.9,0.71,0.11,0.05,10.36
