Inference for Stan model: anon_model_44e3c749f7a7110bcaebb3c656940e7c.
4 chains, each with iter=50000; warmup=25000; thin=1; 
post-warmup draws per chain=25000, total post-warmup draws=100000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[41]      3.597   0.033  0.056  3.541   3.55  3.553  3.661  3.675    3.0  2.314
dnu[42]      6.707   0.012  0.036  6.662  6.689  6.692  6.717  6.808    9.0  1.857
dnu[43]      6.021   0.004  0.012  6.007  6.014  6.017  6.025  6.053   11.0  1.267
dnu[44]      3.617   0.009  0.022  3.591    3.6  3.609  3.634  3.671    6.0   2.08
dnu[45]      3.985   0.026  0.073  3.777  3.999  4.005   4.01  4.085    8.0  2.602
dnu[46]      2.895   0.057  0.111  2.709  2.753  2.973  2.979  2.983    4.0  3.243
dnu[47]      5.599   0.022  0.036  5.525  5.596  5.604  5.605  5.677    3.0  2.172
dnu[48]      6.454   0.005  0.018  6.423  6.446  6.453  6.455   6.51   14.0  1.476
dnu[49]      7.028   0.022  0.037   6.99  6.995  7.003  7.067  7.087    3.0  2.272
dnu[50]      3.615   0.005  0.015  3.593  3.604  3.612  3.618  3.652    9.0   1.44
dnu[51]       9.21   0.007  0.028  9.142  9.197  9.206  9.224  9.266   17.0  1.448
dnu[52]      6.323   0.031  0.059  6.202  6.315  6.319  6.326  6.448    4.0  2.738
dnu[53]      4.881   0.006  0.018  4.857   4.87  4.874  4.891  4.929    9.0  1.764
numax[1]    31.541   0.866  1.298  29.66 30.256 32.156  32.59 33.496    2.0  3.158
numax[2]    36.541   1.371  3.769 30.718 32.306 37.023 39.522 42.874    8.0  2.235
numax[3]    33.951   0.348  1.034 31.243  33.47 34.234  34.75  35.14    9.0  1.564
numax[4]    53.818   0.612  1.963 50.935 52.811 53.617 53.894 60.033   10.0  1.771
numax[5]     26.19   0.164  0.683 24.583 25.857  26.19 26.477 27.682   17.0  1.224
numax[6]    31.859   1.812  3.683 26.568 27.401 34.172 34.279  36.73    4.0  2.091
numax[7]    35.847   0.247  0.962 34.016 35.362 35.794 36.345 38.013   15.0  1.336
numax[8]    56.342   0.238  0.635 55.228 55.935  56.24  56.82 57.624    7.0  1.373
numax[9]    109.31   2.077  4.176 99.735 107.75 109.58 111.28 118.74    4.0    1.8
numax[10]   141.99   2.057   5.92 135.06 138.53 139.51 144.74 156.79    8.0   1.69
numax[11]   75.814   0.868  1.764 73.028 74.545 75.231  76.94 80.068    4.0  1.553
numax[12]   26.005   0.561   1.61 23.523 25.066 25.281 27.037 29.342    8.0  1.964
numax[13]   40.346   1.241  2.913 33.176 37.619 42.052 42.255 43.336    6.0  2.668
numax[14]   24.583   0.857  1.634 23.038 23.459 23.632 25.166 29.318    4.0  2.601
numax[15]   97.869   0.875  2.185 95.276 95.954 97.268 99.155 103.11    6.0   1.53
numax[16]   33.444   0.394   0.91 32.432 32.792 33.067   34.1 35.478    5.0   1.88
numax[17]   30.641   0.562  1.049 28.075 29.912 31.006 31.404 32.128    3.0   1.87
numax[18]   23.539   0.401  0.851 22.404 22.949 23.051 24.333 25.311    4.0   1.62
numax[19]   43.907   0.506  1.144  42.47 43.147 43.279 45.086 46.058    5.0  2.262
numax[20]   68.175   1.239  2.328 64.298 66.066  68.62 69.299 73.514    4.0  2.311
numax[21]   91.961    1.24  4.709 74.654 91.297 93.008 94.192   98.5   14.0  1.137
numax[22]   37.695   2.486   4.75 30.993 31.873 41.178 41.403 43.171    4.0  2.113
numax[23]   154.57   6.022 10.923 137.19 142.68 157.17 163.99 170.47    3.0  2.094
numax[24]   44.136   0.363  0.807 42.916 43.544 43.756 44.823 45.729    5.0  1.456
numax[25]   17.265   0.895  1.371 15.603 16.386 16.604 17.697 20.293    2.0  3.463
numax[26]   63.878   0.059  0.361 63.071 63.743 63.852 64.097 64.595   37.0  1.106
numax[27]   20.631   1.105  1.766 16.322  19.56 20.723  22.19 22.714    3.0  3.094
numax[28]   40.537   1.815  4.323 32.249 37.312 42.353  43.82 44.993    6.0   3.42
numax[29]   44.191   0.408   1.07 41.546 43.768 44.307 44.677 46.536    7.0   1.62
numax[30]   73.446   1.408  2.459   70.9 71.283 72.531 75.384 78.609    3.0   2.03
numax[31]   39.141   1.305  3.272 32.159  35.97 40.676 41.254 42.626    6.0  2.816
numax[32]   87.698   2.879  5.209 82.608 83.493 84.109 93.424 97.238    3.0  2.516
numax[33]    20.76   1.209  2.047 18.854 18.907 19.256 22.732 24.531    3.0  3.353
numax[34]   36.781   1.611  3.692  31.46 32.263 37.848 39.712 42.237    5.0  1.981
numax[35]   22.292   1.344  2.597 18.069 18.988 23.802  24.52  24.79    4.0  3.179
numax[36]   110.86   2.719  9.343 97.131 106.25 109.62 113.30 140.70   12.0  1.627
numax[37]   93.832   0.061  0.552 92.643 93.486 93.984  94.15 94.894   81.0  1.068
numax[38]   83.687   0.328  0.725  82.47 82.923 83.698 84.203 85.126    5.0  1.458
numax[39]   88.907   0.285  1.127 87.107 88.184 88.656 89.499 91.535   16.0  1.195
numax[40]     60.7   0.979  2.208  58.72 58.974  59.54 62.305 65.754    5.0  2.787
numax[41]   29.908   0.254  0.429  29.17 29.357 30.015 30.291 30.475    3.0  2.145
numax[42]   68.662   0.717  2.385 65.459 67.425 67.947 68.787 75.337   11.0  1.658
numax[43]   60.028   0.047  0.288 59.411 59.895  59.99 60.196 60.654   37.0  1.142
numax[44]   26.051   0.483  0.953 24.966 25.184 25.727 26.656 28.421    4.0  2.197
numax[45]   41.975   0.877  2.642 33.889 42.061 42.721 43.071 44.894    9.0  1.942
numax[46]   28.161   2.159  3.986 21.132 23.429 30.331 31.485 31.596    3.0  3.426
numax[47]   52.828   1.051  1.886 49.441 51.985 52.706 53.144 57.467    3.0  1.985
numax[48]   66.063   0.789  1.488 63.175   64.9 66.253 67.536 68.164    4.0   2.17
numax[49]    74.37   0.111  0.279 73.967 74.092 74.334 74.575 74.939    6.0  1.333
numax[50]   27.409   0.639  1.142 25.608 26.656 26.981  28.28   29.8    3.0  1.819
numax[51]   105.61  8.6e-82.16e-5 105.61 105.61 105.61 105.61 105.61  62854    1.0
numax[52]   57.866   2.309  3.789 49.621  56.72  58.01 59.071 64.602    3.0  2.672
numax[53]   43.788   0.408  1.077 42.412 43.115 43.385  44.27 46.522    7.0  1.725
G[1]         8.362   1.772  3.572  2.462    3.4  10.29 11.095 12.044    4.0  2.626
G[2]          3.52   1.086  1.745  2.062  2.236  2.923  4.679  8.131    3.0  3.107
G[3]         2.123   0.065  0.203  1.707  2.017   2.15   2.26  2.508   10.0  1.746
G[4]         2.597   0.094  0.238   2.11  2.468   2.65  2.742  3.011    6.0  1.684
G[5]         2.357   0.051  0.178  2.091  2.264  2.309  2.443  2.784   12.0  1.472
G[6]         2.529   0.183  0.418  2.055  2.117  2.541  2.784  3.443    5.0   1.81
G[7]         2.766   0.296  0.486  1.951  2.366  2.953  3.109  3.436    3.0  2.308
G[8]         2.626   0.068  0.225  2.102  2.523  2.727  2.748   2.94   11.0  1.566
G[9]         3.223   0.202  0.457  2.194  3.049  3.238  3.571  4.022    5.0  1.736
G[10]        2.761   0.201  0.755  1.126   2.53  2.786  3.233  4.191   14.0  1.213
G[11]        2.695   0.063  0.227  2.145  2.594  2.727  2.841  3.076   13.0   1.48
G[12]        2.336   0.049  0.172  2.077  2.227  2.318  2.447  2.723   12.0  1.785
G[13]        3.028   0.106   0.31   2.72  2.839  2.906  3.162  3.838    9.0  1.513
G[14]        2.145   0.017  0.082  2.007  2.093  2.138  2.187  2.335   23.0  1.181
G[15]        3.153   0.114  0.424  2.115  3.049  3.185  3.395  3.933   14.0  1.373
G[16]        2.132   0.048  0.167  1.948  2.018  2.101  2.198  2.552   12.0  1.467
G[17]        8.628   0.727  2.023  2.757  8.207  9.494  9.813 10.646    8.0  1.965
G[18]        2.346   0.167  0.391  2.038  2.138  2.161  2.505  3.464    5.0  1.419
G[19]        2.443   0.049   0.18  2.055  2.397  2.449  2.546  2.747   13.0   1.59
G[20]        3.397   0.744  1.129  2.057  2.648  3.041    3.9   5.55    2.0  3.737
G[21]        3.988   0.077  0.349   3.14  3.812  4.004  4.153  4.703   21.0  1.253
G[22]        2.348   0.072  0.243  2.071  2.221  2.262  2.389  3.014   11.0  1.867
G[23]        2.944   0.337  0.591  2.062  2.405  2.904  3.573  3.792    3.0    2.2
G[24]        2.814   0.234  0.416  2.106  2.479  2.944  3.075   3.68    3.0  2.264
G[25]        2.168   0.172  0.442  1.128  2.072  2.242  2.461  2.696    7.0  2.386
G[26]        3.016   0.435  0.717  1.951  2.628  2.829  3.925  4.743    3.0  2.151
G[27]        8.546   1.804  3.209  2.114  6.882  10.29 10.777 11.022    3.0  2.485
G[28]        2.245   0.057  0.193  2.032  2.108  2.202  2.343  2.715   12.0  1.562
G[29]        2.485   0.137  0.413  1.578  2.406  2.679  2.723  2.926    9.0  1.913
G[30]        3.216   0.856  1.292  2.075  2.369  2.621  3.146  5.633    2.0  3.475
G[31]        2.299   0.055  0.201  2.043  2.167  2.221  2.416  2.778   13.0  1.587
G[32]        3.594   0.616  0.941  1.974  2.644   4.08  4.216  4.857    2.0  3.292
G[33]        4.102   0.517  1.048  2.853  3.483  3.797  4.171  6.637    4.0  2.293
G[34]        2.952   0.656  1.256  1.899  2.204  2.601    2.7  6.013    4.0  2.928
G[35]         2.19   0.113  0.252  1.989  2.021  2.031  2.477  2.689    5.0   2.33
G[36]         3.91   0.796  1.702  1.917  2.754  3.896  4.132  8.836    5.0  1.692
G[37]        3.329   0.151  0.522  2.141  3.142  3.352  3.557   4.38   12.0  1.392
G[38]        2.286   0.053  0.133  2.033  2.186  2.307  2.421  2.485    6.0  1.504
G[39]        3.289   0.397  0.705  2.154  2.733  3.098  3.995  4.393    3.0  2.186
G[40]        2.164   0.298  0.479  1.598  1.664  2.011  2.731  2.941    3.0  4.076
G[41]        2.241   0.245  0.448  1.936  1.992  2.069  2.166  3.541    3.0   1.84
G[42]        2.887   0.199  0.421   2.06  2.652  2.982  3.219  3.368    4.0  2.519
G[43]        3.052   0.136   0.42  2.023  3.028  3.192   3.23  3.639   10.0  1.598
G[44]        1.742   0.045  0.117   1.55  1.624  1.769  1.831  1.921    7.0  1.456
G[45]        2.764   0.112  0.329  2.052  2.696  2.846  2.894  3.455    9.0  1.848
G[46]        2.123   0.016  0.097  1.974  2.074  2.094   2.17  2.363   35.0  1.167
G[47]        2.831   0.298  0.606  2.124   2.45   2.54  3.384  4.126    4.0  1.957
G[48]        3.577   0.831   1.22  2.054  2.745   3.46  4.037  5.805    2.0  4.568
G[49]        3.755   0.488  0.789  2.093  3.216  4.032  4.191  5.042    3.0  2.532
G[50]        2.125    0.23   0.42  1.564  1.682  2.103  2.493  2.882    3.0  1.935
G[51]        3.407   0.495  0.991   1.25  2.822  3.434  4.202  4.995    4.0   1.94
G[52]        3.316    0.18   0.32  2.629  3.153  3.298   3.49  3.917    3.0  2.073
G[53]        2.276   0.035  0.131  2.079  2.181  2.259  2.375  2.548   14.0  1.421
phi[1]      -2.767   0.625  1.474 -3.924  -3.79 -3.568 -1.424  0.148    6.0  2.375
phi[2]      -2.256   1.126  3.007 -6.242 -5.333 -3.088  0.488  3.421    7.0  2.366
phi[3]      -1.783   0.192  0.559 -3.106 -2.082 -1.652 -1.434 -0.844    8.0  1.279
phi[4]       0.405   0.247  0.771 -0.891  0.031  0.344  0.503  2.825   10.0  1.687
phi[5]      -0.795   0.129  0.543  -2.03 -1.064 -0.774 -0.608  0.345   18.0  1.208
phi[6]      -2.682    1.17  2.707 -6.227 -5.942 -1.847 -0.321  1.778    5.0  1.911
phi[7]       0.166   0.177  0.683  -1.72 -0.025  0.147  0.563  1.445   15.0  1.456
phi[8]       1.206   0.188  0.408  0.764  0.949  1.037  1.328  2.436    5.0  1.592
phi[9]       1.276   0.407  0.809 -0.553  1.044  1.354  1.554  3.286    4.0   1.79
phi[10]      1.829   1.003  2.424 -4.674  2.003  2.314  2.755   5.08    6.0   3.28
phi[11]      1.382   0.319  0.613  0.466  0.902    1.2  1.807  2.819    4.0    1.6
phi[12]     -2.534   0.447  1.301 -4.648 -3.403  -3.06 -1.542  0.097    8.0  1.975
phi[13]      -1.28   0.816  1.837 -5.598 -3.158 -0.245   0.14  0.379    5.0  2.867
phi[14]      0.033    0.81  1.568 -1.509 -1.004 -0.859  0.607   4.58    4.0  2.548
phi[15]      2.041   0.151  0.377  1.578  1.697  1.953  2.233  2.923    6.0  1.449
phi[16]       0.05   0.274  0.635 -0.604 -0.454 -0.102  0.311  1.826    5.0  1.461
phi[17]     -3.433   0.318  0.911 -3.997 -3.885 -3.722 -3.398 -0.084    8.0  1.527
phi[18]     -0.549   0.455  0.861 -1.507 -1.205 -1.082  0.309  1.157    4.0  1.877
phi[19]      0.705   0.243  0.682 -0.538  0.287  0.398  1.367  1.963    8.0   2.16
phi[20]      1.165   0.363  0.737 -0.021  0.701  1.187  1.462  2.948    4.0  2.174
phi[21]      1.004    0.28  1.035 -2.734  0.831  1.336  1.506  2.134   14.0  1.207
phi[22]     -1.268    1.65  3.431 -6.161  -5.56  1.144  1.212  3.088    4.0  2.071
phi[23]      1.496   0.799  1.941 -4.761  1.141  1.703  2.686    3.8    6.0  2.278
phi[24]      0.731    0.15  0.407   0.03  0.464  0.548  1.046  1.601    7.0   1.34
phi[25]     -1.467   1.311  2.136  -3.53 -2.892 -2.592 -1.004  3.942    3.0  2.427
phi[26]      1.079   0.094  0.347  0.331  0.945    1.0  1.301  1.806   14.0  1.455
phi[27]      -2.91   0.869  1.524 -4.922  -3.56 -3.493 -3.207   0.63    3.0  2.417
phi[28]      1.022   1.398  3.469 -5.367 -1.815  2.415  3.631  4.881    6.0  3.149
phi[29]      0.324   0.234  0.768 -1.453 -0.026  0.467  0.721  1.769   11.0   1.62
phi[30]      1.511   0.404  0.789  0.498  1.018  1.152  2.076  3.231    4.0  1.802
phi[31]       0.82   0.959  2.592  -4.59 -1.572  1.885  2.502  4.142    7.0  2.711
phi[32]      2.523   0.774  1.446  1.171  1.373  1.456  4.082  5.197    3.0  3.028
phi[33]     -2.606   0.567  0.996 -3.788 -3.563 -2.733 -1.723 -0.801    3.0  2.981
phi[34]     -2.781   0.987  2.679 -6.158 -5.712 -3.335 -0.773  2.083    7.0  1.608
phi[35]     -0.861   1.689  3.148 -5.828 -4.946  1.067  1.674  2.186    3.0  3.208
phi[36]      1.531   0.287  0.891 -0.444  0.998  1.841  2.004   3.21   10.0   2.15
phi[37]      1.914   0.057  0.233  1.482  1.788  1.857   2.07  2.435   17.0  1.184
phi[38]      1.602   0.151  0.323  1.138  1.284  1.583   1.83   2.24    5.0  1.579
phi[39]      1.834   0.142  0.358  1.374  1.525  1.783  2.007  2.754    6.0  1.349
phi[40]      0.881   0.525  1.115 -0.443 -0.027  0.323  1.955  3.235    5.0  2.914
phi[41]      1.265   0.328  0.602 -0.047  0.883  1.354  1.635  2.267    3.0  1.836
phi[42]      0.737    0.24  0.859 -0.998   0.41  0.657  0.902   2.82   13.0  1.546
phi[43]      1.049   0.146   0.46  0.513  0.793  0.946   1.06  2.359   10.0  1.545
phi[44]      0.063   0.492  0.931 -1.002 -0.816 -0.125  0.642  2.322    4.0  2.212
phi[45]      0.841    0.67  2.173  -4.46   0.45  0.674  1.178  5.838   11.0  2.095
phi[46]      1.181   2.133  3.919 -5.618 -3.369  3.291  4.411  4.736    3.0  3.316
phi[47]      0.586   0.406  0.754  -0.64  0.194   0.53  0.724  2.617    3.0  1.773
phi[48]      0.762   0.259  0.478 -0.176   0.31  1.054  1.153    1.3    3.0  1.784
phi[49]      1.403   0.155  0.275  1.018  1.222  1.309  1.642  1.942    3.0  2.157
phi[50]      1.483   0.936   1.85 -3.441  1.264  1.588  2.742  3.912    4.0  2.658
phi[51]       1.93    0.25  0.591  1.365  1.559  1.691  2.007  3.585    6.0  1.523
phi[52]      0.125     0.8  1.289 -2.718 -0.227  0.286  0.684  2.141    3.0  2.809
phi[53]     -0.254   0.227  0.624 -1.069 -0.663 -0.524   0.08  1.315    8.0  1.832
tau[1]       4.889   1.874  4.096  0.991  2.131  2.641  6.965 15.392    5.0  1.591
tau[2]      12.952   1.711  3.648  2.781 11.926 13.746 15.105 18.671    5.0  1.519
tau[3]      10.406   0.399  2.281   6.43   9.42 10.161  10.85 16.679   33.0  1.123
tau[4]       8.964   1.217  3.438  2.306  6.645  9.713 10.274 16.909    8.0  1.301
tau[5]      10.425   0.575  2.718  6.264  8.548 10.125 11.859 16.576   22.0  1.169
tau[6]       11.65   1.523  3.442  6.216  8.741 11.467 15.318 16.644    5.0  1.827
tau[7]       9.287   1.998   3.69  2.179  6.423 10.756 11.367 16.103    3.0  1.846
tau[8]       5.678   0.736   1.78  2.968  4.237  5.367  7.177  9.461    6.0  1.545
tau[9]      12.942   0.665  2.657  8.259 10.938 12.967 15.308 17.893   16.0  1.239
tau[10]      9.634   1.052  3.476  2.444  7.727  9.908 10.507 18.287   11.0  1.383
tau[11]     14.476   2.138   4.59   6.83 10.485 14.869 18.339  20.48    5.0  1.837
tau[12]     11.228   0.493  2.435  6.825  9.502 10.858  12.56 16.663   24.0  1.147
tau[13]     12.849   1.342   3.86  8.732 10.172 12.134 13.523 23.561    8.0  2.342
tau[14]      11.11   1.224  2.714  5.765   8.77 11.754 12.694 15.979    5.0  1.621
tau[15]     10.566   1.211   2.92   6.73  7.473 10.517 11.752 17.454    6.0  1.401
tau[16]     11.766   0.914  3.179  7.175  9.522 10.661 14.043 18.623   12.0   1.28
tau[17]      5.022   2.265  4.135  1.511  1.692  2.279  8.184 14.538    3.0  2.148
tau[18]     11.236   0.696  2.987  4.472  9.864 11.224 12.908  17.35   18.0  1.159
tau[19]     10.111   1.133   3.19  3.608   8.54 10.527  12.82 14.815    8.0  1.573
tau[20]      8.899   0.923  2.895  4.482  6.139  8.157 11.021 15.455   10.0  1.287
tau[21]      7.779   2.222  4.674   1.13  2.477  7.562 11.968 15.843    4.0  2.137
tau[22]     10.505   0.466  2.505  6.148  9.013 10.058 11.699 15.803   29.0  1.127
tau[23]     11.495   0.908  2.652  7.098  9.979 10.498 13.499 17.814    9.0   1.56
tau[24]        8.6   2.836  4.988  2.062  4.252  7.078  12.94 16.224    3.0  2.409
tau[25]     12.403   1.809  3.892  5.756  9.501  11.63 16.742 19.711    5.0  1.641
tau[26]     13.173   1.295  3.333  6.301 10.967 13.633 15.744 18.891    7.0  1.304
tau[27]      6.541   1.498  3.333  2.523  3.972   4.63  9.421  13.73    5.0  1.559
tau[28]     11.462   0.354  2.547  6.598 10.039  11.26 12.487 17.517   52.0   1.09
tau[29]     12.732   1.161  2.922  7.468 10.336 12.995 15.172 16.431    6.0  1.577
tau[30]     11.874   0.781  2.647  6.354 10.386 12.093 13.567 16.269   11.0   1.51
tau[31]     10.733   0.631  3.497  4.713  8.182 11.598 12.545 18.288   31.0  1.238
tau[32]     10.948   0.772  2.525  7.212    9.2   10.0 12.902 16.387   11.0  1.613
tau[33]      5.082   3.908 11.174  0.163  0.172   0.55  0.719 35.536    8.0  2.274
tau[34]      11.31   2.736  4.895  1.508  8.501 12.241 14.712 20.924    3.0  1.698
tau[35]     11.851   0.802  2.813  7.572 10.325 10.671 13.664 18.519   12.0  1.516
tau[36]     13.158   2.228  5.592  4.324  8.962 12.829  17.44 26.254    6.0  1.887
tau[37]      9.837   0.791  3.561   4.01  6.875  9.972 11.151 16.973   20.0   1.28
tau[38]      6.805   1.132  2.857  1.997  4.781  6.584  8.724 13.127    6.0  1.343
tau[39]     11.331   0.671  2.748  6.023  8.929 11.937 13.792 16.015   17.0  1.248
tau[40]      9.763   2.035   4.22  4.454  6.394  8.813  12.56 18.733    4.0  1.725
tau[41]      6.136   2.099  3.298  0.482  3.716  7.415  8.019  10.69    2.0  3.587
tau[42]     11.156   1.549  3.417  4.875  8.235 10.471 13.545 17.598    5.0  1.839
tau[43]      8.529   0.325  2.561  2.569   7.56  8.396  9.517 14.355   62.0  1.096
tau[44]     10.411   0.376  2.585   5.67  9.456 10.287 10.546 17.047   47.0  1.098
tau[45]     14.005   1.447  3.655  5.907 11.769 15.274  16.31 20.533    6.0  1.336
tau[46]     10.743   2.497  4.256   3.17  7.255 10.808 15.402 17.134    3.0  2.486
tau[47]     10.742   1.406  3.599   4.57  8.094 11.024 13.787 17.564    7.0  1.567
tau[48]     11.644   0.492  2.681  5.915  9.799 12.027 12.811 17.675   30.0  1.118
tau[49]       7.02   1.933  3.235  2.263  3.719  7.082  9.179 13.356    3.0  2.021
tau[50]     10.746   1.222  2.342  6.317  9.051 10.965 11.796 15.028    4.0  1.683
tau[51]     11.088   0.491  2.996   4.69  9.633 11.137  12.52 17.478   37.0  1.122
tau[52]     12.003   1.095  3.758  3.234 10.761   11.8 14.655 19.464   12.0   1.55
tau[53]       9.09   0.904  2.787  3.285    7.3  9.813 10.798 14.142   10.0  1.861
eps_std[1]   0.473   0.411  0.954 -1.663 -0.304  0.382  1.453  1.802    5.0  2.199
eps_std[2]   0.955    0.52  1.078 -1.257  0.061  1.438  1.784  2.787    4.0  1.641
eps_std[3]    -0.1   0.482  0.716 -1.263 -0.768 -0.128  0.561  1.088    2.0  3.915
eps_std[4]  -0.023   0.144  0.348 -0.571  -0.27   0.01  0.083  0.892    6.0  1.669
eps_std[5]   0.252    0.19   0.41 -0.512 -0.019  0.379  0.534  0.705    5.0  1.643
eps_std[6]   0.544   1.179    1.9 -1.654 -1.244  0.148  1.642  4.883    3.0  2.552
eps_std[7]   -0.38   0.121  0.381 -1.548 -0.606 -0.345 -0.047  0.114   10.0  1.522
eps_std[8]   0.029   0.869  1.289 -1.521  -1.01 -0.457   1.29  2.149    2.0  5.294
eps_std[9]   0.646   0.735  1.116 -1.746 -0.214  0.449  1.781  2.203    2.0  4.616
eps_std[10]  0.288    0.93  1.342 -1.176  -0.77 -0.264  1.708  2.512    2.0  5.292
eps_std[11] -0.742   0.205  0.524 -1.777 -1.229 -0.631 -0.393  0.143    7.0  1.897
eps_std[12] -0.167   0.116  0.421 -0.828  -0.32 -0.178 -0.066  1.138   13.0  1.337
eps_std[13]  0.053    0.67  1.021 -1.383  -1.24  0.054  0.956  1.655    2.0  4.027
eps_std[14] -1.197   0.322  0.581  -2.13 -1.842 -0.994 -0.618 -0.405    3.0  3.498
eps_std[15]  0.015   0.458  0.794  -1.75  -0.51 -0.264  0.577  1.565    3.0  2.406
eps_std[16] -0.428   0.136  0.414 -1.252 -0.617 -0.342 -0.186  0.408    9.0  1.668
eps_std[17]  0.252   0.454  1.027  -1.87 -0.831   0.88  1.161  1.452    5.0  2.218
eps_std[18]  0.219   0.507  0.807 -1.453 -0.503  0.495  0.929   1.33    3.0  3.899
eps_std[19]  0.171   0.372  0.569 -0.701 -0.249   0.08  0.786  0.979    2.0  3.319
eps_std[20] -0.447   0.222  0.406  -0.84 -0.722 -0.573 -0.154  0.575    3.0  1.868
eps_std[21] -0.143   0.388  0.606   -0.8 -0.619  -0.32  0.233  1.406    2.0  3.756
eps_std[22]  1.228   0.901  1.623 -1.111 -0.918  1.586  1.694  5.622    3.0  2.038
eps_std[23]  0.091   0.362  0.585 -0.601 -0.391 -0.177  0.448  1.592    3.0  2.795
eps_std[24]  0.178   0.651  0.965  -1.23 -0.619 -0.013  1.053  1.692    2.0  7.612
eps_std[25] -0.866   0.192  0.423 -1.681 -1.104 -0.993 -0.413 -0.279    5.0  2.261
eps_std[26] -0.883   0.341  0.572 -1.758 -1.242 -1.113 -0.502  0.099    3.0  2.276
eps_std[27] -0.116   0.929  1.456 -1.615 -1.416 -1.115  1.346  2.837    2.0  2.577
eps_std[28]  1.109   0.152  0.499 -0.676  0.963  1.237  1.488  1.608   11.0  1.339
